price_rub,statezip,sqrtmetres_living,sqrtmetres_lot,bedrooms,bathrooms,floors,view,condition,yr_built,sqrtmetres_above,sqrtmetres_basement
26918000,55,124.48599999999999,735.0248,3,1.5,1.5,0,3,1955,124.48599999999999,0
29412000,76,179.297,1109.8763,3,2,1,0,4,1966,179.297,0
36120000,01,185.79999999999998,745.987,3,2.25,1,0,4,1963,92.89999999999999,92.89999999999999
47300000,02,180.226,975.4499999999999,4,2.5,1,0,4,1976,105.90599999999999,74.32
42140000,03,81.752,592.702,2,1,1,0,3,1938,81.752,0
28810000,02,125.41499999999999,237.82399999999998,2,2,1,0,3,1976,125.41499999999999,0
41452000,05,251.759,3332.1371999999997,4,2.5,2,0,3,1989,251.759,0
38915000,06,225.74699999999999,8214.7754,3,2.5,1,0,4,1985,145.853,79.89399999999999
55040000,03,141.208,575.98,4,2,1.5,0,3,1945,141.208,0
39818000,07,158.85899999999998,680.028,3,1.75,1,0,3,1948,158.85899999999998,0
120400000,08,271.268,371.59999999999997,4,2.5,1.5,0,5,1909,177.439,93.829
50611000,09,216.457,1383.4668,3,1.75,1,0,3,1980,183.013,33.443999999999996
31390000,10,101.261,597.8115,3,1,1,0,4,1955,101.261,0
103200000,08,270.339,880.692,5,2.75,1.5,0,3,1939,270.339,0
20855000,76,111.47999999999999,902.9879999999999,3,1.5,1,0,4,1965,111.47999999999999,0
36034000,11,145.853,622.43,3,1.5,1,0,4,1956,145.853,0
31605000,82,288.919,671.7599,4,3,2,0,3,1997,288.919,0
22183700,12,127.273,544.2082,3,1.75,1,0,3,1987,127.273,0
23650000,06,109.622,954.7333,3,1.5,1,0,3,1983,109.622,0
64500000,03,208.096,982.6962,3,1.75,2,0,5,1923,143.995,64.101
37410000,13,134.70499999999998,817.52,4,1,1,0,4,1954,134.70499999999998,0
53836000,14,162.575,146.03879999999998,3,2.25,2.5,0,3,2005,136.563,26.012
52675000,15,253.617,1139.0469,4,2.5,2,0,3,1991,253.617,0
42570000,116,148.64,592.702,4,1.75,1,0,3,1959,104.97699999999999,43.663
24510000,17,194.161,1006.4785999999999,3,2.5,1,0,4,1987,126.344,67.817
52890000,118,219.244,677.3339,3,1.75,1,0,4,1948,126.344,92.89999999999999
60028000,19,204.38,1045.125,4,2.25,1.5,0,5,1920,120.77,83.61
58050000,20,261.978,6272.4222,5,2.5,2,0,3,1979,261.978,0
67940000,21,241.54,441.275,3,2.5,1,0,4,1951,157.93,83.61
32895000,22,144.924,808.23,4,1.75,1,0,4,1967,144.924,0
42995700,75,265.694,310.7505,4,2.5,2,0,3,2004,203.451,62.242999999999995
55900000,03,169.078,464.5,4,2,1.5,1,3,1945,152.356,16.721999999999998
53750000,07,261.978,781.1032,4,2.5,2,0,3,2014,261.978,0
34400000,82,337.227,3983.9235999999996,4,2.5,1.5,0,3,1979,213.67,123.557
51944000,41,300.996,3079.7279,3,2.5,2,2,3,1995,300.996,0
37840000,23,74.32,450.565,2,1,1,0,4,1944,74.32,0
24699200,05,171.86499999999998,1854.8414,3,3,1,0,4,1992,101.261,70.604
34658000,24,182.084,1216.99,3,2,1,2,5,1957,153.285,28.799
64500000,59,222.03099999999998,608.495,3,2.5,1,2,4,1955,133.77599999999998,88.255
28810000,25,146.78199999999998,1506.3735,3,2.25,1,0,4,1978,146.78199999999998,0
22360000,26,137.492,801.2624999999999,4,2,1,0,4,1974,137.492,0
26531000,07,78.965,573.5645999999999,2,1,1,0,4,1950,78.965,0
37835700,59,164.433,267.0875,3,2.5,2,0,3,1990,164.433,0
20210000,10,112.40899999999999,873.26,2,1,1,0,2,1949,112.40899999999999,0
27090000,27,107.764,852.822,3,1,1,0,3,1968,107.764,0
37625000,28,183.013,3260.79,3,2.25,2,0,4,1977,183.013,0
35045000,29,179.297,971.7339999999999,3,2.5,2,0,3,1996,179.297,0
38330200,23,117.98299999999999,109.622,3,2.5,3,0,3,2001,117.98299999999999,0
72068000,02,307.49899999999997,3994.5142,4,2.5,2,0,3,2001,307.49899999999997,0
54180000,28,251.759,3463.0333,4,2.75,2,0,3,2000,251.759,0
47300000,30,270.339,3270.08,3,1.75,1.5,0,3,1979,270.339,0
69230000,03,251.759,418.05,3,2,1.5,0,4,1929,174.652,77.107
24424000,31,167.22,2146.2687,3,1.75,1,0,3,1968,167.22,0
40420000,15,205.309,896.9495,5,2.5,1,0,3,1976,135.634,69.675
36980000,13,178.368,929,4,1.5,1,0,4,1954,99.40299999999999,78.965
67510000,32,340.014,1114.3355,5,3.25,2,2,3,2006,340.014,0
33110000,33,122.628,123.2783,3,3.25,2,0,3,2008,96.616,26.012
25370000,10,151.427,127.0872,2,2.5,2,0,3,2009,118.91199999999999,32.515
47730000,32,307.49899999999997,603.85,4,2.5,2,0,3,2012,307.49899999999997,0
39559140,06,248.97199999999998,514.5731,3,2.5,2,0,3,2013,248.97199999999998,0
53750000,29,253.617,5017.9006,4,3.25,1,0,3,2007,144.924,108.693
25800000,76,235.96599999999998,469.145,3,2.5,2,0,3,2006,235.96599999999998,0
53750000,29,271.268,613.6045,4,2.75,2,0,3,2012,271.268,0
47558000,21,83.61,464.5,2,1,1,0,3,1944,83.61,0
32669680,28,153.285,1305.6166,3,2.5,1,0,4,1986,104.97699999999999,48.308
26660000,32,93.829,923.8905,3,1,1,0,4,1973,93.829,0
66650000,34,248.97199999999998,686.7167999999999,2,2.5,1,0,3,2004,248.97199999999998,0
31390000,35,204.38,682.8149999999999,3,2.5,1,0,5,1988,145.853,58.527
28547700,82,235.03699999999998,922.7756999999999,4,2.5,2,2,3,1990,186.72899999999998,48.308
67381000,36,264.765,662.377,3,2.5,2,0,3,1980,184.87099999999998,79.89399999999999
54008000,36,211.81199999999998,558.329,4,2,1,0,3,1900,105.90599999999999,105.90599999999999
48160000,09,176.51,812.3176,3,2.5,2,0,3,1987,176.51,0
77400000,19,123.557,7243.5988,3,1,1,0,3,1928,123.557,0
45666000,37,117.98299999999999,109.1575,2,3,2,0,3,2000,103.119,14.863999999999999
71466000,38,201.593,371.59999999999997,4,3,2,0,4,1982,149.569,52.024
67080000,09,253.617,955.1048999999999,4,2.5,2,2,3,1996,253.617,0
64930000,40,196.94799999999998,947.7658,4,2.5,1,0,4,1960,150.498,46.449999999999996
60662680,20,231.321,403.4647,3,2.5,2,0,3,2003,231.321,0
53922000,28,184.87099999999998,716.4448,4,2.25,1,0,3,1973,112.40899999999999,72.462
74390000,30,342.801,918.9667999999999,4,3,2,0,3,1998,342.801,0
49880000,42,235.96599999999998,650.3,2,1,1,0,5,1942,122.628,113.338
35260000,28,167.22,3409.8016,3,2.25,1,0,4,1978,126.344,40.876
41710000,22,217.386,654.7592,4,3,1,0,4,1979,124.48599999999999,92.89999999999999
34400000,07,196.019,884.3150999999999,2,1.75,1,0,2,1948,196.019,0
47214000,38,105.90599999999999,501.65999999999997,2,1,1,0,5,1908,105.90599999999999,0
53320000,19,137.492,202.98649999999998,3,1.75,2.5,0,3,2005,137.492,0
34830000,118,130.989,115.196,2,3,2,0,3,2006,105.90599999999999,25.083
19952000,12,111.47999999999999,749.0527,2,1,1,0,4,1958,111.47999999999999,0
68874476,19,295.42199999999997,1282.5774,5,2.5,2,0,4,1990,295.42199999999997,0
55900000,43,200.664,836.1,3,1.5,1,2,4,1949,130.06,70.604
70778000,36,271.268,464.5,6,1.75,2.5,0,4,1908,258.262,13.006
66220000,38,218.315,529.53,3,2,1.5,0,4,1939,168.149,50.166
45064000,33,144.924,512.808,3,1.75,1,0,4,1944,72.462,72.462
46536750,13,254.546,782.7754,5,2.75,1,0,4,1960,127.273,127.273
57620000,08,156.072,185.79999999999998,3,2.5,3,0,3,1909,156.072,0
33101400,41,287.061,1184.475,5,2.5,1,0,3,1968,162.575,124.48599999999999
34924600,37,130.989,123.74279999999999,3,2.25,3,0,3,2005,130.989,0
119970000,08,372.529,790.579,5,3.5,2,1,5,1971,264.765,107.764
49020000,02,186.72899999999998,557.4,3,2.25,1,0,3,1975,123.557,63.172
67682000,78,123.557,696.75,3,1.75,1,0,3,1961,123.557,0
28208000,82,220.173,603.85,4,2.5,2,0,3,1998,220.173,0
37410000,55,170.936,858.396,5,2,1,0,4,1942,143.066,27.869999999999997
42914000,32,270.339,601.8991,4,2.5,2,0,3,2006,270.339,0
43086000,01,192.303,698.5151,4,1,1,0,3,1963,107.764,84.539
34400000,118,78.036,511.87899999999996,2,1,1,0,3,1955,78.036,0
18920000,41,115.196,891.8399999999999,4,1.5,1,0,3,1971,115.196,0
56510600,37,129.131,393.89599999999996,4,1,1,0,3,1924,97.545,31.586
26655700,05,214.599,464.5,4,2.75,2,0,3,2006,214.599,0
25800000,45,97.545,935.6888,3,2,1,0,3,1986,97.545,0
45226368,28,236.89499999999998,6677.094599999999,5,1.75,1,0,5,1960,168.149,68.746
63640000,04,186.72899999999998,334.44,4,1.75,1.5,0,3,1902,186.72899999999998,0
29240000,22,104.048,838.1437999999999,5,1,1.5,0,4,1962,104.048,0
34292500,46,207.167,371.59999999999997,3,2.5,2,0,3,1954,207.167,0
17716000,48,75.249,664.9782,2,1,1,0,5,1944,75.249,0
51600000,30,155.143,3682.4631,3,1.75,1,0,4,1976,155.143,0
32675700,55,183.013,872.2380999999999,4,1.75,1,0,5,1960,105.90599999999999,77.107
24682000,42,134.70499999999998,557.4,3,1,1,0,4,1953,134.70499999999998,0
26655700,26,174.652,728.1501999999999,3,2.5,2,0,3,1994,174.652,0
51600000,03,174.652,590.8439999999999,3,1.75,1,0,4,1945,96.616,78.036
35948000,37,130.989,560.187,3,2,1.5,0,4,1930,130.989,0
38635500,55,137.492,357.1076,4,2,1.5,0,5,1928,137.492,0
28375700,55,105.90599999999999,487.72499999999997,2,1,1.5,0,4,1949,105.90599999999999,0
21070000,49,178.368,864.5274,3,1.75,1,0,3,1984,92.89999999999999,85.468
47214000,29,270.339,588.8002,4,2.5,2,0,3,2008,270.339,0
68800000,30,300.996,729.9153,3,2.5,2,0,3,1994,300.996,0
21495700,29,143.995,1397.216,3,2,1,0,4,1958,143.995,0
18060000,12,190.445,947.5799999999999,5,2,1,0,3,1956,132.847,57.598
122550000,38,206.238,371.59999999999997,2,2.5,2,0,3,2000,206.238,0
50310000,21,164.433,802.656,2,1,1.5,0,3,1949,141.208,23.224999999999998
52890000,02,213.67,1086.93,4,1.75,1,0,4,1977,182.084,31.586
53191000,03,167.22,464.5,3,2,1,0,4,1942,100.332,66.88799999999999
41932310,22,186.72899999999998,855.7019,4,1.75,1,0,3,1977,136.563,50.166
43851400,28,166.291,250.82999999999998,3,2.5,2,0,3,2010,166.291,0
54319750,21,226.676,617.8779,4,2.5,2,0,3,2014,226.676,0
47730000,28,180.226,298.3019,3,2.5,2,0,3,2009,180.226,0
29240000,46,107.764,133.59019999999998,2,1.5,2,0,3,2001,107.764,0
71380000,02,315.86,900.3868,4,2.5,2,0,3,2007,315.86,0
76540000,28,410.618,534.175,4,4.25,2,0,3,2006,316.789,93.829
31540500,116,145.9459,187.3793,3,3,3,0,3,2008,145.9459,0
35690000,20,150.498,92.71419999999999,3,2.25,2.5,0,3,2010,143.066,7.4319999999999995
35800596,03,130.8032,91.8781,3,2.5,3,0,3,2005,130.8032,0
41108000,51,282.416,421.3015,3,2.5,2,0,3,2007,282.416,0
76540000,28,417.121,557.4,5,3.5,2,0,3,2006,297.28,119.841
36050340,20,147.71099999999998,132.4754,2,2.5,2,0,3,2014,147.71099999999998,0
61249028,02,227.605,394.5463,4,2.5,2,0,3,2013,227.605,0
34142000,22,133.77599999999998,713.472,4,2,1,0,3,1971,111.47999999999999,22.296
38700000,21,102.19,278.7,2,2,1.5,0,3,1912,102.19,0
30358000,116,125.41499999999999,719.0459999999999,3,1,1,0,4,1947,79.89399999999999,45.521
52374000,02,199.73499999999999,3528.4348999999997,4,2.5,2,0,3,1985,199.73499999999999,0
20124000,76,138.421,777.2013999999999,3,1.75,1,0,4,1975,93.829,44.592
48246000,118,185.79999999999998,650.3,3,2,2,0,3,1916,185.79999999999998,0
40334000,21,95.687,408.76,2,1,1,0,3,1924,95.687,0
28324100,21,66.88799999999999,621.2223,2,1,1,0,3,1942,66.88799999999999,0
41968000,21,187.658,464.5,5,2,1.5,0,4,1938,187.658,0
24071400,12,146.78199999999998,757.2279,3,1.75,1,1,4,1962,102.19,44.592
52116000,28,196.019,1286.665,4,2.5,2,0,3,1987,196.019,0
26832000,52,120.77,655.3166,4,2,1,0,3,1950,120.77,0
55900000,03,151.427,694.4275,3,1.5,1,1,3,1940,107.764,43.663
27950000,10,175.581,571.8924,4,2.5,1,0,3,1980,91.042,84.539
36550000,22,141.208,741.6206999999999,4,2,1,0,5,1967,141.208,0
18834000,10,83.61,479.364,2,1,1,0,3,1952,83.61,0
21500000,55,97.545,638.5946,3,1,1,0,3,1954,97.545,0
33540000,01,117.054,603.85,3,1.75,1,0,4,1966,117.054,0
40850000,54,322.363,10926.1548,6,3,1.5,0,3,1924,322.363,0
63296000,13,212.74099999999999,1119.1662999999999,4,2.5,2,0,4,1988,212.74099999999999,0
35002000,12,261.049,2173.86,4,2.25,1,1,3,1958,158.85899999999998,102.19
23392000,31,153.285,1283.5064,3,2.5,2,0,3,1998,153.285,0
